"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"686","Satia Industries Ltd","SATIA","P&F | F.A","-2.55%","66.12","5,77,657"
"295","Elecon Engineering Company Limited","ELECON","P&F | F.A","-2.57%","449.15","5,68,948"
"417","Pnc Infratech Limited","PNCINFRA","P&F | F.A","-2.58%","253.2","5,01,829"
"748","Mahanagar Telephone Nigam Limited","MTNL","P&F | F.A","-2.58%","42.98","30,95,822"
"270","P N Gadgil Jewellers Ltd","PNGJL","P&F | F.A","-2.59%","505.65","3,22,710"
"874","Bartronics India Ltd","ASMS","P&F | F.A","-2.59%","13.52","7,70,698"
"333","Goldiam International Limited","GOLDIAM","P&F | F.A","-2.61%","375.45","9,42,441"
"341","Sanathan Textiles Ltd","SANATHAN","P&F | F.A","-2.61%","361.7","2,65,887"
"311","Time Technoplast Limited","TIMETECHNO","P&F | F.A","-2.62%","417.7","16,04,507"
"607","Sammaan Capital Ltd","SAMMAANCAP","P&F | F.A","-2.62%","107.1","1,34,76,376"
"747","Ifci Limited","IFCI","P&F | F.A","-2.62%","43.07","77,29,819"
"620","Suryoday Small Finance Bank Ltd","SURYODAY","P&F | F.A","-2.64%","100.31","4,71,862"
"612","Garuda Construction and Engineering Ltd","GARUDA","P&F | F.A","-2.65%","103.1","4,94,035"
"653","Himachal Futuristic Communications Limited","HFCL","P&F | F.A","-2.65%","79.1","1,47,83,782"
"816","Trident Limited","TRIDENT","P&F | F.A","-2.65%","24.27","90,12,633"
"864","Anmol India Ltd","ANMOL","P&F | F.A","-2.66%","14.26","3,25,721"
"105","Protean eGov Technologies Ltd","PROTEAN","P&F | F.A","-2.67%","1340.8","4,94,257"
"990","Godha Cabcon and Insulation Ltd","GODHA","P&F | F.A","-2.67%","0.73","11,39,867"
"300","Skipper Limited","SKIPPER","P&F | F.A","-2.69%","437.25","5,74,323"
"501","Aeroflex Industries Ltd","AEROFLEX","P&F | F.A","-2.69%","170.17","6,48,706"
"434","Spandana Sphoorty Financial Ltd","SPANDANA","P&F | F.A","-2.71%","235","5,53,758"
"703","Jain Irrigation Systems Limited","JISLJALEQS","P&F | F.A","-2.71%","57.4","36,91,771"
"751","Central Bank Of India","CENTRALBK","P&F | F.A","-2.71%","42.77","59,77,337"
"861","Alok Industries Ltd","ALOKINDS","P&F | F.A","-2.71%","15.05","1,19,51,530"
"769","Uco Bank","UCOBANK","P&F | F.A","-2.72%","35.7","69,39,432"
"800","Shree Renuka Sugars Limited","RENUKA","P&F | F.A","-2.72%","27.58","95,30,673"
"96","Cipla Limited","CIPLA","P&F | F.A","-2.74%","1442.2","14,95,932"
